Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
New Zealand,Colombia,2017,Exports & Imports,138,175,3.61,4.11,-3840.58,14624.75,18465.33,0.05,0.04,3.71,0.58,421,50.83,48.69,0,0.48,10,0,0,2641.45,15823.88,3.79,0.59,421,52.49,47.03,0,0.48,10,0,0,2646.08,15819.25,1
New Zealand,Cape Verde,2017,Exports & Imports,1,8,0.03,0.19,69.52,72.86,3.34,0,0,0.31,0.14,13,7.69,92.31,0,0,5,0,0,0.19,3.15,3.65,7.14,13,61.54,38.46,0,0,10,0,0,2.56,0.78,1
New Zealand,Costa Rica,2017,Exports & Imports,89,128,2.33,3.01,-12693.25,8027.44,20720.7,0.05,0.02,2.85,0.39,293,50.17,48.12,1.71,0,10,0,15.37,1450.12,19266.75,2.91,0.4,293,52.22,46.08,1.71,0,10,0,15.37,1450.12,19266.75,1
New Zealand,Cuba,2017,Exports & Imports,16,11,0.42,0.26,35869.69,36660.18,790.5,0,0.1,2.43,0,41,46.34,53.66,0,0,10,0,0,0.27,790.22,2.43,0,41,46.34,53.66,0,0,10,0,0,0.27,790.22,1
New Zealand,Curaçao,2017,Exports & Imports,8,3,0.21,0.07,525.61,532.09,6.49,0,0,4,2.08,7,57.14,42.86,0,0,5,0,0,6.49,0,4,2.08,7,57.14,42.86,0,0,5,0,0,6.49,0,
New Zealand,Christmas Island,2017,Exports & Imports,94,8,2.46,0.19,178.16,1925.46,1747.29,0,0.01,2.56,0.01,15,46.67,53.33,0,0,10,0,0,1.25,1746.04,2.88,0.01,15,53.33,46.67,0,0,10,0,0,1.25,1746.04,1
New Zealand,Cayman Islands,2017,Exports & Imports,21,25,0.55,0.59,1250.79,1471.6,220.81,0,0,2.74,2.97,59,49.15,50.85,0,0,10,0,0,196.8,24.01,2.74,2.97,59,49.15,50.85,0,0,10,0,0,196.8,24.01,
New Zealand,Cyprus,2017,Exports & Imports,69,35,1.81,0.82,9451.42,10897.5,1446.08,0,0.03,3.82,0.57,59,50.85,45.76,0,3.39,10,0,0,183.74,1262.34,3.82,0.57,59,50.85,45.76,0,3.39,10,0,0,183.74,1262.34,
New Zealand,Czech Republic,2017,Exports & Imports,182,1023,4.76,24.03,-109844.5,9509.72,119354.22,0.3,0.03,3.28,4.52,1929,56.66,42.2,1.14,0,10,0,691.24,99004.96,18182.66,3.28,4.52,1929,56.66,42.2,1.14,0,10,0,691.24,99004.96,18182.66,
New Zealand,Germany,2017,Exports & Imports,921,2887,24.1,67.8,-1635942.24,506560.91,2142503.15,5.34,1.33,2.51,3.77,4639,48.2,51.13,0.58,0.09,10,0,37698.78,1472123.26,502282.06,2.51,3.77,4639,48.2,51.13,0.58,0.09,10,0,37698.78,1472123.26,502282.06,
New Zealand,Djibouti,2017,Exports & Imports,7,6,0.18,0.14,-439.87,1399.17,1839.04,0,0,0,0,21,0,100,0,0,0,0,0,0,1839.04,4.85,0,21,66.67,33.33,0,0,10,0,0,0.59,1838.44,1
New Zealand,Dominica,2017,Exports & Imports,1,8,0.03,0.19,1.35,6.3,4.95,0,0,4.38,1.96,14,28.57,71.43,0,0,10,0,0,1.03,3.92,4.38,1.96,14,28.57,71.43,0,0,10,0,0,1.03,3.92,1
New Zealand,Denmark,2017,Exports & Imports,336,1221,8.79,28.68,-58987.36,109234.35,168221.7,0.42,0.29,3.33,2.41,2233,58.71,40.17,0.94,0.18,10,0,1008.82,99583.88,66615.66,3.33,2.41,2233,58.71,40.17,0.94,0.18,10,0,1008.82,99583.88,66615.66,
New Zealand,Dominican Republic,2017,Exports & Imports,30,140,0.79,3.29,5352.46,16178.07,10825.61,0.03,0.04,3.8,1.4,378,56.35,41.8,1.85,0,10,0,42.53,3078.27,7747.34,3.89,1.43,378,59.52,38.62,1.85,0,10,0,42.53,3078.37,7747.24,1
New Zealand,Algeria,2017,Exports & Imports,24,6,0.63,0.14,379890.69,379946.25,55.56,0,1,2.92,0.08,8,50,50,0,0,10,0,0,1.46,54.1,3.33,0.14,8,62.5,37.5,0,0,10,0,0,1.46,54.1,1
New Zealand,East Asia & Pacific,2017,Exports & Imports,3699,4047,96.81,95.04,669612.45,23813496.95,23143884.5,57.67,62.58,0.45,0.67,42270,7.54,92.2,0.23,0.02,200.68,0,75312.5,4166481.34,18272211.06,2.35,3.1,6407,45.28,54.14,0.07,0.01,200.68,0,115130.37,15208587.62,7230104.77,53
New Zealand,Europe & Central Asia,2017,Exports & Imports,1967,3794,51.48,89.1,-4279455.06,3795142.19,8074597.25,20.12,9.97,3.16,3.05,61351,54.21,44.72,0.93,0.14,200.68,0,97582.99,4925034.8,2749942.5,2.41,3.06,5996,46.03,53.37,0.05,0.01,200.68,0,97582.99,4927596.6,2747380.7,8
New Zealand,Ecuador,2017,Exports & Imports,80,76,2.09,1.78,-55064.21,3661.51,58725.72,0.15,0.01,3.14,0.11,152,44.74,54.61,0.66,0,10,0,10.19,1378.68,57347.04,3.35,0.11,152,49.34,50,0.66,0,10,0,10.19,1380.78,57344.93,1
New Zealand,"Egypt, Arab Rep.",2017,Exports & Imports,73,143,1.91,3.36,196060.48,200654.16,4593.67,0.01,0.53,5.06,2.27,291,66.32,33.68,0,0,10,0,0,1627.51,2965.06,5.1,2.29,291,67.01,32.99,0,0,10,0,0,1627.51,2965.06,1
New Zealand,Eritrea,2017,Exports & Imports,3,9,0.08,0.21,1.44,2.99,1.55,0,0,0.19,0.68,34,2.94,97.06,0,0,5,0,0,0.63,0.91,2.52,2.28,34,52.94,47.06,0,0,10,0,0,1.2,0.35,1
New Zealand,Western Sahara,2017,Exports & Imports,,1,,0.02,,,0.21,0,,5,5,1,100,0,0,0,5,5,0,0.21,0,5,5,1,100,0,0,0,5,5,0,0.21,0,
New Zealand,Spain,2017,Exports & Imports,451,1727,11.8,40.56,-170070.75,149663.36,319734.11,0.8,0.39,2.87,3.74,3030,52.21,47,0.73,0.07,10,0,2255.26,222820.74,82698.58,2.87,3.74,3030,52.21,47,0.73,0.07,10,0,2255.26,222820.74,82698.58,
New Zealand,Estonia,2017,Exports & Imports,38,279,0.99,6.55,-4453.03,3361.43,7814.46,0.02,0.01,3.3,2.82,657,56.93,41.7,1.37,0,10,0,62.26,4613.47,2343.34,3.3,2.82,657,56.93,41.7,1.37,0,10,0,62.26,4613.47,2343.34,
New Zealand,Ethiopia(excludes Eritrea),2017,Exports & Imports,8,35,0.21,0.82,-1204.48,2447.28,3651.77,0.01,0.01,0,0,62,0,98.39,1.61,0,0,0,2.78,2.78,3648.99,6.86,0.06,62,77.42,20.97,1.61,0,10,0,2.78,28.08,3623.69,1
New Zealand,Finland,2017,Exports & Imports,220,843,5.76,19.8,-105089.98,11646.8,116736.78,0.29,0.03,3.01,2.4,1607,53.83,44.8,1.12,0.25,10,0,1378.42,59952.74,49732.92,3.01,2.4,1607,53.83,44.8,1.12,0.25,10,0,1378.42,59952.74,49732.92,
New Zealand,Fiji,2017,Exports & Imports,2583,732,67.6,17.19,304842.41,350141.04,45298.63,0.11,0.92,0,0,1315,0,100,0,0,0,0,0,0.39,44136.26,3.67,4.12,1315,56.88,42.28,0.84,0,10,0,33.77,33665.19,10471.46,2
New Zealand,Falkland Island,2017,Exports & Imports,38,9,0.99,0.21,112.98,152.01,39.04,0,0,3.49,0.35,31,45.16,54.84,0,0,10,0,0,2.89,36.15,3.49,0.35,31,45.16,54.84,0,0,10,0,0,2.89,36.15,1
New Zealand,France,2017,Exports & Imports,691,2205,18.08,51.78,-461439.03,245828.67,707267.7,1.76,0.65,2.91,2.38,3724,51.15,48.01,0.67,0.16,200.68,0,4651.24,364855.63,304507.99,2.91,2.38,3724,51.15,48.01,0.67,0.16,200.68,0,4651.24,364855.63,304507.99,
New Zealand,Faeroe Islands,2017,Exports & Imports,7,4,0.18,0.09,3186.21,3196.85,10.63,0,0.01,6.25,5.34,4,75,25,0,0,10,0,0,10.43,0.2,6.25,5.34,4,75,25,0,0,10,0,0,10.43,0.2,
New Zealand,Gabon,2017,Exports & Imports,10,2,0.26,0.05,1092.8,1319.86,227.05,0,0,1.67,1.67,12,33.33,66.67,0,0,5,0,0,154.46,0,1.67,1.67,12,33.33,66.67,0,0,5,0,0,154.46,0,1
New Zealand,United Kingdom,2017,Exports & Imports,1307,2914,34.21,68.44,-205965.27,1028107.93,1234073.19,3.08,2.7,2.72,3.13,4704,49.47,49.83,0.57,0.13,200.68,0,14442.34,747907.81,453461.45,2.73,3.15,4704,49.64,49.66,0.57,0.13,200.68,0,14442.34,749122.18,452247.08,1
New Zealand,Georgia,2017,Exports & Imports,35,101,0.92,2.37,3436.63,3712.42,275.79,0,0.01,5,6.63,208,64.9,34.62,0.48,0,10,0,0.12,247.46,28.11,5,6.63,208,64.9,34.62,0.48,0,10,0,0.12,247.46,28.11,
New Zealand,Ghana,2017,Exports & Imports,100,32,2.62,0.75,22678.1,28695.28,6017.18,0.01,0.08,3.45,0.02,74,48.65,51.35,0,0,10,0,0,42.13,5964.07,3.58,0.02,74,51.35,48.65,0,0,10,0,0,42.13,5964.07,1
New Zealand,Gibraltar,2017,Exports & Imports,10,2,0.26,0.05,821.27,822.28,1.01,0,0,2.05,0.17,12,66.67,33.33,0,0,10,0,0,0.04,0.97,2.05,0.17,12,66.67,33.33,0,0,10,0,0,0.04,0.97,1
New Zealand,Guinea,2017,Exports & Imports,6,23,0.16,0.54,1069.49,1420.16,350.67,0,0,0.18,0.1,39,5.13,92.31,2.56,0,5,0,1.06,10.35,225.98,2.26,2.47,39,38.46,58.97,2.56,0,10,0,1.06,216.54,19.79,1
New Zealand,"Gambia, The",2017,Exports & Imports,5,8,0.13,0.19,130.42,253.2,122.78,0,0,0,0,11,0,100,0,0,0,0,0,0,122.78,2.19,0.19,11,45.45,54.55,0,0,5,0,0,7.66,115.13,1
New Zealand,Greece,2017,Exports & Imports,144,438,3.77,10.29,7496.77,32127.32,24630.54,0.06,0.08,4.1,2.29,941,59.4,39.53,0.85,0.21,10,0,8.11,11445.05,11237.97,4.1,2.29,941,59.4,39.53,0.85,0.21,10,0,8.11,11445.05,11237.97,
New Zealand,Grenada,2017,Exports & Imports,10,2,0.26,0.05,2639.25,2650.03,10.78,0,0.01,0.96,1.76,14,35.71,64.29,0,0,5,0,0,9.85,0.93,0.96,1.76,14,35.71,64.29,0,0,5,0,0,9.85,0.93,1
New Zealand,Greenland,2017,Exports & Imports,,1,,0.02,,,0.38,0,,0,0,1,0,100,0,0,0,0,0,0,0.38,0,0,1,0,100,0,0,0,0,0,0,0.38,
New Zealand,Guatemala,2017,Exports & Imports,48,68,1.26,1.6,6372.72,25608.35,19235.63,0.05,0.07,5.6,0.18,121,63.64,36.36,0,0,10,0,0,594.7,18640.93,5.62,0.18,121,63.64,36.36,0,0,10,0,0,594.7,18640.93,1
New Zealand,Guam,2017,Exports & Imports,166,4,4.34,0.09,5240.25,5247.3,7.04,0,0.01,3.75,2.58,11,36.36,63.64,0,0,10,0,0,2.81,4.23,3.75,2.58,11,36.36,63.64,0,0,10,0,0,2.81,4.23,
New Zealand,Guyana,2017,Exports & Imports,17,7,0.44,0.16,15210.12,17311.83,2101.71,0.01,0.05,1.1,0.95,24,20.83,79.17,0,0,5,0,0,1897.68,133.7,1.1,0.95,24,20.83,79.17,0,0,5,0,0,1897.68,133.7,1
New Zealand,"Hong Kong, China",2017,Exports & Imports,1118,1326,29.26,31.14,812206.63,875991.23,63784.59,0.16,2.3,0,0,2360,0,99.19,0.81,0,0,0,988.88,1194.06,61615.4,3.3,2.65,2360,55.47,43.64,0.81,0.08,10,0,988.88,40440.39,22369.07,1
New Zealand,Honduras,2017,Exports & Imports,19,97,0.5,2.28,-2519.55,888.35,3407.9,0.01,0,6.03,6.95,207,67.63,31.88,0.48,0,10,0,0.5,2505.4,902.5,6.12,6.96,207,69.57,29.95,0.48,0,10,0,0.5,2505.47,902.43,1
New Zealand,Croatia,2017,Exports & Imports,47,224,1.23,5.26,-1833.78,1495.71,3329.49,0.01,0,4.49,4.62,506,59.68,38.74,1.58,0,10,0,5.73,2925.11,398.4,4.57,4.63,506,61.66,36.76,1.58,0,10,0,5.73,2927.77,395.75,1
